order,filename,local_path,image_url,product_name,current_price,old_price,rating,review_count,product_url,category_name
028,028_spa-gonflable-intex-olive-196-x-196-x-71-cm-4-places-carr-28.jpg,,https://www.cdiscount.com/pdt2/8/7/4/1/400x400/int6941057430874/rw/spa-gonflable-intex-olive-196-x-196-x-71-cm.jpg,Spa gonflable INTEX - Olive - 196 x 196 x 71 cm - 4 places - Carré - 28426NP,"399,00 €","399,00 €",,,https://www.cdiscount.com/jardin/spa/spa-gonflable-intex-olive-196-x-196-x-71-cm/f-1633001-int6941057430874.html#mpos=28|cd,piscine et spa
029,029_kit-piscine-hors-sol-tubulaire-intex-pris-frame-503-x-274-x-.jpg,,https://www.cdiscount.com/pdt2/6/n/p/1/400x400/26796np/rw/kit-piscine-hors-sol-tubulaire-intex-pris-frame.jpg,"Kit Piscine hors sol tubulaire INTEX - Pris Frame - 503 x 274 x 122 cm - Ovale (Pompe, bâche, tapis de sol et échelle) - 26796NP","490,00 €",,4.3,72,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-pris-frame/f-1631801-26796np.html#mpos=29|cd,piscine et spa
030,030_airrobo-cp20-robot-piscine-aspirateur-de-piscine-sans-fil-po.jpg,,https://www.cdiscount.com/pdt2/7/5/8/1/400x400/aabzw81758/rw/airrobo-pc10-robot-de-piscine.jpg,"AIRROBO CP20 Robot Piscine, Aspirateur de Piscine sans Fil pour Sols, 120Min & 170m² d'Autonomie,Forte Puissance d’Aspiration","409,00 €","699,00 €",4.6,5,https://www.cdiscount.com/jardin/piscine/airrobo-pc10-robot-de-piscine/f-163180201-aabzw81758.html?idOffre=4284199575&sw=2176a09e38a4770ef97846c149063d4f2127fe1c63ecd9d362f06a680966daed74c0439cab8af740ab5b17478910195d209604d19b807e5d1eb33cd4a1e84cdd37ea48667d8fc334b8f876f7dd606cfac1b5857664ff13c4acc8f7792f80c0cd9633b7b82f23e22b7ef7012f608647307c8359ebc9bb5f2816101e5494d4055c7a149763d3b4cf53db73702bf6da158e#mpos=30|mp,piscine et spa
031,031_kit-piscine-hors-sol-tubulaire-bestway-steel-pro-max-305-x-2.jpg,,https://www.cdiscount.com/pdt2/9/4/6/1/400x400/bes6941607365946/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro.jpg,Kit Piscine hors sol tubulaire BESTWAY - Steel Pro MAX™ - 305 x 200 x 84 cm - Ovale (Livrée avev filtre à cartouche et 1 cartouche),"259,00 €",,4,25,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro/f-1631801-bes6941607365946.html#mpos=31|cd,piscine et spa
032,032_robot-de-piscine-sans-fil-wybot-c2-vision-smart-vision-8-mod.jpg,,https://www.cdiscount.com/pdt2/4/5/7/1/400x400/aaape86457/rw/wybot-c2-vision--robot-de.jpg,Robot de Piscine Sans Fil - WYBOT - C2 Vision - Smart Vision - 8 Modes de Nettoyage - 180 min Autonomie,"719,00 €",,4.7,17,https://www.cdiscount.com/jardin/piscine/wybot-c2-vision--robot-de/f-163180201-aaape86457.html?idOffre=4201785910&sw=2176a09e38a4770ef97846c149063d4f9b2d8c30b0f6cc77e47586da4daaf58df1f10146ece5ef691cd6c129c174c7945d6ca3b1d25281a48aaf65431eae43954246dd87c56018b1a8a70dbb40213fdd378db9a523102ce1db27aaaa293e1f73f655cf9fa857e751a91101f1d28b9ce4862e8be8c3ab42caf4727f26c75ae5ac7ddbe8328f67e259f5a70e4e898a04e9#mpos=32|mp,piscine et spa
033,033_filtre-sable-intex-sx1500-4m3-h-pour-piscine-jusqu-24m3.jpg,,https://www.cdiscount.com/pdt2/4/f/r/1/400x400/int26644fr/rw/filtre-a-sable-intex-sx1500-4m3-h-pour-piscine-jus.jpg,Filtre à sable Intex SX1500 4m3/h pour piscine jusqu'à 24m3,"119,63 €",,4.6,345,https://www.cdiscount.com/jardin/piscine/filtre-a-sable-intex-sx1500-4m3-h-pour-piscine-jus/f-163180302-int26644fr.html#mpos=33|cd,piscine et spa
034,034_spa-gonflable-bestway-lay-z-spa-mauritius-avec-wifi-airjet-1.jpg,,https://www.cdiscount.com/pdt2/5/0/5/1/400x400/bes6941607348505/rw/spa-gonflable-bestway-lay-z-spa-mauritius-avec.jpg,Spa gonflable BESTWAY - Lay-Z-Spa Mauritius - Avec Wifi - Airjet 180 Airjets - 270 x 180 x 71 cm - 5 à 7 places - Rectangulaire,"649,00 €","649,00 €",4.6,24,https://www.cdiscount.com/jardin/spa/spa-gonflable-bestway-lay-z-spa-mauritius-avec/f-1633001-bes6941607348505.html#mpos=34|cd,piscine et spa
035,035_spa-intex-purespa-olive-8-places-170-diffuseurs-bulles.jpg,,https://www.cdiscount.com/pdt2/2/7/4/1/400x400/lin6941057429274/rw/spa-intex-purespa-olive-8-places-170-diffu.jpg,Spa - INTEX - PureSpa Olive - 8 places - 170 diffuseurs à bulles,"599,00 €",,5,3,https://www.cdiscount.com/jardin/spa/spa-intex-purespa-olive-8-places-170-diffu/f-1633001-lin6941057429274.html#mpos=35|cd,piscine et spa
036,036_spa-gonflable-bestway-lay-z-spa-hollywood-140-airjets-180-x-.jpg,,https://www.cdiscount.com/pdt2/3/4/0/1/400x400/bes6941607369340/rw/spa-gonflable-bestway-lay-z-spa-hollywood-140.jpg,"Spa gonflable BESTWAY - Lay-Z-Spa Hollywood - 140 airjets - 180 x 180 x 66 cm - 4 à 6 places - Carré (couverture, cartouche)","499,00 €",,5,3,https://www.cdiscount.com/jardin/spa/spa-gonflable-bestway-lay-z-spa-hollywood-140/f-1633001-bes6941607369340.html#mpos=36|cd,piscine et spa
037,037_kit-piscine-hors-sol-tubulaire-intex-pris-frame-457-x-122-cm.jpg,,https://www.cdiscount.com/pdt2/5/3/7/1/400x400/int6941057418537/rw/kit-piscine-hors-sol-tubulaire-intex-pris-frame.jpg,"Kit Piscine hors sol tubulaire INTEX - Pris Frame - 457 x 122 cm - Ronde (Pompe, bâche, tapis de sol et échelle) - 26742NP","398,99 €",,3.9,31,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-pris-frame/f-1631801-int6941057418537.html#mpos=37|mp,piscine et spa
038,038_kit-piscine-hors-sol-tubulaire-intex-graphite-400-x-300-cm-r.jpg,,https://www.cdiscount.com/pdt2/6/7/8/1/400x400/int6941057423678/rw/kit-piscine-hors-sol-tubulaire-intex-graphite.jpg,"Kit Piscine hors sol tubulaire INTEX - Graphite - 400 x 300 cm - Rectangulaire (Echelle, vannes, filtre, bâche) - 26396GN","1390,00 €",,,,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-intex-graphite/f-1631801-int6941057423678.html?idOffre=2443480986&sw=2176a09e38a4770ef97846c149063d4f3444c06a53bc137d7b68ffd1dd4f0e7aa3a368256d093e90b899cfd182ec58a470c6b125cbdf22b862f4a131a2646aff6c418441ca874a919b3b0130922975962b01b92d29d61789048be5b88b545e0679c6f69449662baf323768701ffd801c97142b6455b792a63019636b72159375d0e64801c39b436b48deb32b24cc76e0#mpos=38|mp,piscine et spa
039,039_kit-piscine-hors-sol-tubulaire-bestway-steel-pro-max-366-x-1.jpg,,https://www.cdiscount.com/pdt2/4/3/5/1/400x400/bes6942138982435/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro-m.jpg,Kit Piscine hors sol tubulaire BESTWAY Steel Pro Max™- 366 x 100 cm - Ronde (Livrée avec filtre à cartouche + échelle de sécurité),"229,00 €",,4.4,37,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro-m/f-1631801-bes6942138982435.html#mpos=39|mp,piscine et spa
040,040_spa-gonflable-6-places-relxtime-carr-130-micro-jets-temp-rat.jpg,,https://www.cdiscount.com/pdt2/0/3/3/1/400x400/aaaro05033/rw/spa-gonflable-6-places-carr.jpg,Spa gonflable 6 places - RELXTIME - Carré - 130 micro-jets - Température jusqu'à 40°C - Noir,"369,00 €","599,00 €",,,https://www.cdiscount.com/jardin/spa/spa-gonflable-6-places-carr/f-1633001-aaaro05033.html#mpos=40|mp,piscine et spa
041,041_kit-piscine-hors-sol-tubulaire-bestway-steel-pro-max-422-x-2.jpg,,https://www.cdiscount.com/pdt2/2/4/0/1/400x400/bes6941607366240/rw/kit-piscine-hors-sol-tubulaire-bestway-steel-pro.jpg,"Kit Piscine hors sol tubulaire BESTWAY - Steel Pro Max - 422 x 201 x 122 cm - Rectangulaire (Filtre à cartouche, échelle, 1 cartouch","444,69 €",,4.1,9,https://www.cdiscount.com/jardin/piscine/kit-piscine-hors-sol-tubulaire-bestway-steel-pro/f-1631801-bes6941607366240.html#mpos=41|cd,piscine et spa
042,042_filtre-sable-pompe-de-filtration-pour-piscine-jusqu-42-m3-be.jpg,,https://www.cdiscount.com/pdt2/y/0/2/1/400x400/besfiltpoly02/rw/filtre-a-sable-pompe-de-filtration-pour-piscine.jpg,Filtre à sable / pompe de filtration pour piscine jusqu'à 42 m3- Bestway - 6 056 L/h - Avec préfiltre + Boules Polysphère - 500gr,"136,94 €","185,95 €",4.5,72,https://www.cdiscount.com/jardin/piscine/filtre-a-sable-pompe-de-filtration-pour-piscine/f-163180302-besfiltpoly02.html#mpos=42|cd,piscine et spa
043,043_filtre-sable-intex-sx925-2m3-h-jusqu-17m3.jpg,,https://www.cdiscount.com/pdt2/1/7/6/1/400x400/int6941057422176/rw/filtre-a-sable-intex-sx925-2m3-h-jusqu-a-17m3.jpg,Filtre à sable Intex SX925 2m3/h jusqu'à 17m3,"84,84 €","99,00 €",4,103,https://www.cdiscount.com/jardin/piscine/filtre-a-sable-intex-sx925-2m3-h-jusqu-a-17m3/f-163180302-int6941057422176.html#mpos=43|cd,piscine et spa
044,044_spa-gonflable-sunspa-ac02-185-x-65-cm-6-places-carr-livr-ave.jpg,,https://www.cdiscount.com/pdt2/1/2/1/1/400x400/sun3700684107121/rw/spa-gonflable-sunspa-ac02-185-x-65-cm-6-plac.jpg,"Spa gonflable SUNSPA - AC02 - 185 x 65 cm - 6 places - Carré (Livré avec filtre, cadenas, tapis de sol et couverture)","389,99 €","599,00 €",3.9,246,https://www.cdiscount.com/jardin/spa/spa-gonflable-sunspa-ac02-185-x-65-cm-6-plac/f-1633001-sun3700684107121.html#mpos=44|cd,piscine et spa
